Year,Iraq,West Bank and Gaza Strip,Afghanistan,Libya,Somalia,Israel,Bahrain,Lebanon,Syria,Yemen
1994,0.092121805,6.97291719,0.052706391,0,0.773133791,1.018707168,0.18195382,1.968643331,0,0.132889278
1995,0.173702943,9.375002526,0.08282414,0.020206935,0.934373977,1.226330027,1.596599598,2.975870789,0,0.181046291
1996,0.226145575,10.12365934,0.100777343,0.099281736,1.119400605,1.528460998,4.320318805,3.988187211,0.01355551,0.226254962
1997,0.317170407,10.49318719,0.103321123,0.097694259,1.323064338,1.713502399,6.05116258,5.193491735,0.019768956,0.338013866
1998,0.339146608,10.66064292,0.106394998,0.096213536,1.287178825,1.909227935,5.86608701,5.766865917,0.025641703,0.370813771
1999,0.381544458,10.77786332,0.148729501,0.094770183,1.286008982,1.991836735,5.655575455,6.804060663,0.024978157,0.460961387
2000,0.41280831,11.46414989,0.211742498,0.093320266,1.341260672,2.178406742,5.416710552,6.948105717,0.024374123,0.505483607
2001,0.413083546,15.27795198,0.268431626,0.091856904,1.349774604,3.354558161,5.160920364,6.81533621,0.023857018,0.530182183
2002,0.425157756,17.68891123,0.424764214,0.090397981,1.33665427,4.429223744,4.897026417,6.695032883,0.02341286,0.553034849
2003,0.811090002,18.66896315,0.827672259,0.088959345,1.304071597,4.918008281,4.751460111,6.49442687,0.022968423,0.574137447
2004,2.017949643,19.24843958,1.148556525,0.087563175,1.27341366,5.110882655,4.458658594,6.259058948,0.028046043,0.557827352
2005,4.264126377,19.90726407,1.711215839,0.086227487,1.292254818,5.642054227,4.161244865,6.448508447,0.027231368,0.576901577
2006,7.235467167,20.43252365,2.727645057,0.084934721,1.347094883,6.691523598,3.96484642,6.533942888,0.031480765,0.584890075
2007,10.86658917,22.43528108,3.918740813,0.100422007,2.716576586,7.311875879,3.668222765,6.901112925,0.030183733,0.601432707
2008,14.58126561,23.58032916,5.324237208,0.115535573,4.15014651,9.016528021,3.498871838,8.12215554,0.033875278,0.685177138
2009,18.20995896,23.23060455,6.969584508,0.114118273,5.077792203,9.284492893,3.290930954,8.331556904,0.033009723,0.768326679
2010,21.70333196,22.92559667,8.637847732,0.112945726,6.019651797,9.300068209,3.304149367,8.196946375,0.032767638,1.230843434
2011,25.26581917,22.86899824,9.768435939,0.144059053,7.352759972,9.786499781,3.285991583,7.99689044,0.265631791,1.692737769
2012,28.84915816,22.88945874,14.15534319,1.049993867,9.712565472,10.42917641,5.231002614,7.783127047,1.154663168,2.921566044
2013,36.34821554,23.91635604,18.14091731,5.648421369,12.07160814,10.69545257,9.125274043,9.3353375,2.661086931,4.533323747
2014,46.45188798,26.54910938,23.00813609,17.05428087,18.24402761,14.05844907,12.12508598,12.07465973,4.553541552,7.369260109
2015,52.67024153,31.70891868,27.91338065,25.36491275,20.77957244,14.4747676,13.12093934,12.2461207,7.462184422,9.687567093
2016,60.35405234,34.59971496,31.71859684,31.57654771,24.45431593,14.7788439,12.83496272,12.52554071,10.39760118,11.38094854
2017,65.40659337,35.78158864,34.81640223,34.03881306,27.98652288,14.86233689,13.65391476,12.6697865,12.04398611,11.92032524
