Year,Iraq,Pakistan,Afghanistan,India,Philippines,Somalia,Nigeria,Thailand,Colombia,Yemen
1994,18,154,9,107,72,57,8,24,201,19
1995,35,820,15,286,135,70,9,36,324,27
1996,47,1000,19,499,196,86,20,55,733,35
1997,68,1206,20,692,253,105,40,75,1331,54
1998,75,1243,21,753,271,106,42,79,1425,61
1999,87,1282,30,865,302,110,60,83,1541,78
2000,97,1331,44,1045,434,119,66,87,1678,88
2001,100,1384,58,1279,484,124,71,101,1885,95
2002,106,1430,96,1463,532,127,77,113,2035,102
2003,208,1459,196,1659,639,128,86,119,2133,109
2004,531,1526,284,1767,671,129,92,163,2170,109
2005,1148,1603,439,1913,696,135,101,318,2212,116
2006,1986,1767,721,2080,754,145,138,520,2255,121
2007,3033,2027,1062,2229,819,301,199,813,2285,128
2008,4139,2595,1476,2763,1095,473,275,1013,2418,150
2009,5276,3262,1979,3435,1324,595,317,1311,2557,173
2010,6455,3975,2521,4098,1529,725,380,1564,2693,285
2011,7763,4987,2942,4743,1680,910,555,1746,2787,403
2012,9200,6641,4411,5354,1929,1235,1171,2025,2902,715
2013,12052,8856,5854,6048,2580,1577,1517,2497,3051,1140
2014,15985,11007,7678,6908,3177,2449,2231,2920,3282,1903
2015,18736,12250,9606,7792,3898,2867,2869,3198,3418,2567
2016,22096,13114,11223,8817,4530,3469,3402,3527,3527,3092
2017,24562,13833,12637,9783,5222,4083,3886,3706,3644,3318
